COMP;CO_IBGE;CNES;CO_TIPO_UNIDADE;MOTIVO_DESABILITACAO;LEITOS_EXISTENTES;LEITOS_SUS;UTI_TOTAL_EXIST;UTI_TOTAL_SUS
202601;411440;2595265;05;;59;51;0;0
202601;411450;2588242;05;;33;33;0;0
202601;411460;4053907;05;;59;0;0;0
202601;411460;4582144;05;;26;0;0;0
202601;411460;7117485;05;;23;23;0;0
202601;411470;4442180;15;;1;1;0;0
202601;411500;2753928;05;;23;23;0;0
202601;411510;8025894;15;;2;2;0;0
202601;411520;0035149;07;;60;0;0;0
202601;411520;2586142;05;;88;67;17;10
202601;411520;2586169;05;;100;71;6;6
202601;411520;2586444;05;;72;1;7;0
202601;411520;2587165;05;;140;0;30;0
202601;411520;2587335;05;;204;182;44;32
202601;411520;2587343;05;;51;0;5;0
202601;411520;2594714;05;;302;182;64;34
202601;411520;2743469;05;;125;125;34;34
202601;411520;2743477;05;;125;103;13;10
202601;411520;2962403;07;;116;60;10;6
202601;411520;2972344;05;;62;0;8;0
202601;411520;4469453;05;;11;0;0;0
202601;411520;4936515;05;;21;0;0;0
202601;411520;6030750;07;;14;1;0;0
202601;411520;6466265;07;;8;4;0;0
202601;411520;7264593;15;;70;0;0;0
202601;411520;7898630;15;;14;0;0;0
202601;411520;8072515;05;;58;50;8;0
202601;411520;9365230;05;;176;0;39;0
202601;411550;2572265;05;;21;21;0;0
202601;411560;2588188;05;;48;43;0;0
202601;411570;2557207;05;;10;10;0;0
202601;411580;2582716;05;;104;60;10;3
202601;411580;4792483;05;;44;36;0;0
202601;411600;2729474;05;;10;10;0;0
202601;411605;2575957;05;;43;38;0;0
202601;411620;2687119;05;;18;18;0;0
202601;411670;2573172;05;;38;34;0;0
202601;411680;2733358;05;;21;21;0;0
202601;411690;2774216;05;;40;40;0;0
202601;411695;2587645;05;;13;13;0;0
202601;411700;2568926;05;;16;14;0;0
202601;411710;3452263;05;;34;32;0;0
202601;411720;2738228;05;;8;8;0;0
202601;411722;2810018;05;;19;12;0;0
202601;411727;2587823;05;;50;50;0;0
202601;411750;2781832;05;;26;26;0;0
202601;411760;2738287;05;;101;100;10;10
202601;411770;2686929;05;;42;35;0;0
202601;411790;2810069;05;;20;0;0;0
202601;411790;4054695;05;;60;60;10;10
202601;411820;2687127;05;;141;116;35;10
202601;411820;3227561;05;;11;0;0;0
202601;411820;3560430;05;;21;0;0;0
202601;411820;4607252;05;;14;0;0;0
202601;411820;5248043;05;;49;0;0;0
202601;411830;2753855;20;;6;6;0;0
202601;411840;2753685;05;;5;3;0;0
202601;411840;2754002;05;;27;0;0;0
202601;411840;2754738;05;;212;172;32;30
202601;411845;2810026;05;;20;20;0;0
202601;411850;0017868;05;;154;108;23;20
202601;411850;0017884;05;;135;104;20;20
202601;411850;5069149;05;;12;0;0;0
202601;411850;7759967;20;;14;0;0;0
202601;411890;2738198;05;;21;21;0;0
202601;411910;0935662;05;;64;61;0;0
202601;411915;0018090;05;;42;37;0;0
202601;411915;0018260;07;;160;160;0;0
202601;411915;0018333;05;;103;73;20;0
202601;411920;4054954;05;;27;27;0;0
202601;411930;4671082;05;;82;0;0;0
202601;411940;2687046;05;;18;18;0;0
202601;411950;0018368;05;;84;84;0;0
202601;411950;0018384;07;;400;400;0;0
202601;411950;6940943;07;;60;0;0;0
202601;411950;7707924;07;;100;0;0;0
202601;411950;9040609;07;;60;0;0;0
202601;411960;2742098;05;;95;82;0;0
202601;411970;2753782;05;;12;12;0;0
202601;411980;2584832;05;;43;36;0;0
202601;411990;2686791;05;;153;92;20;12
202601;411990;2686945;05;;106;94;0;0
202601;411990;2686953;05;;175;114;31;22
202601;411990;3658287;05;;49;3;10;0
202601;411990;5833418;05;;127;0;38;0
202601;411990;6542638;05;;339;326;49;36
202601;412000;2729423;05;;40;31;0;0
202601;412020;2753952;05;;10;10;0;0
202601;412033;2729482;05;;20;20;0;0
202601;412035;2584573;05;;40;40;0;0
202601;412050;2729431;05;;10;10;0;0
202601;412060;2742012;05;;67;60;0;0
202601;412060;2743388;05;;78;65;10;0
202601;412070;4055470;05;;28;26;0;0
202601;412085;4611713;15;;1;1;0;0
202601;412090;2572818;05;;47;47;0;0
202601;412100;2753960;05;;28;27;0;0
202601;412120;2817667;05;;25;24;0;0
202601;412130;2577534;15;;16;16;0;0
202601;412140;4935225;05;;28;28;0;0
202601;412150;2554097;05;;56;52;0;0
202601;412180;4055683;05;;54;51;0;0
202601;412190;2582465;05;;51;51;0;0
202601;412200;2554429;05;;56;53;0;0
202601;412220;0018600;05;;37;37;0;0
202601;412230;0018694;05;;38;28;0;0
202601;412240;2727250;07;;157;157;0;0
202601;412240;4055748;05;;78;78;0;0
202601;412240;5539900;05;;10;0;0;0
202601;412250;7070179;05;;32;32;0;0
202601;412260;2733315;05;;32;28;0;0
202601;412265;4075080;05;;20;20;0;0
202601;412290;2781778;05;;16;16;0;0
202601;412350;0854646;05;;25;25;0;0
202601;412350;4805011;05;;25;25;0;0
202601;412370;2753766;05;;27;19;0;0
202601;412380;2583712;05;;50;50;0;0
202601;412390;7278608;05;;40;40;0;0
202601;412400;2781786;05;;20;20;0;0
202601;412410;2781816;05;;93;70;0;0
202601;412410;3316300;05;;92;92;20;20
202601;412420;2753863;05;;10;10;0;0
202601;412430;2568586;15;;10;10;0;0
202601;412440;2585057;05;;29;24;0;0
202601;412460;2753944;05;;20;20;0;0
202601;412470;2577496;05;;20;20;0;0
202601;412490;2753936;05;;17;17;0;0
202601;412500;5412293;05;;22;22;0;0
202601;412510;2686813;05;;25;25;0;0
202601;412535;2665352;05;;24;24;0;0
202601;412540;2781824;05;;18;18;0;0
202601;412545;4056264;05;;22;19;0;0
202601;412550;2753278;05;;135;135;20;20
202601;412550;3073300;05;;64;0;0;0
202601;412560;2549751;05;;50;38;0;0
202601;412570;0462799;05;;160;125;20;0
202601;412570;6657885;05;;30;30;0;0
202601;412580;2573466;05;;26;24;0;0
202601;412600;2577240;15;;8;8;0;0
202601;412620;2582597;05;;31;31;0;0
202601;412625;2825589;05;;221;159;52;40
202601;412640;2577445;05;;23;23;0;0
202601;412650;2729563;05;;16;16;0;0
202601;412660;2783797;05;;54;35;0;0
202601;412667;2729520;05;;16;16;0;0
202601;412670;2753901;05;;15;15;0;0
202601;412700;2557185;05;;5;5;0;0
202601;412710;2740435;05;;154;108;12;10
202601;412710;7442157;05;;110;100;10;0
202601;412710;9760318;05;;54;16;10;0
202601;412720;2334755;05;;34;32;0;0
202601;412720;2567466;05;;32;32;0;0
202601;412730;2753804;05;;33;31;0;0
202601;412750;2740567;05;;16;16;0;0
202601;412760;0019194;05;;19;19;0;0
202601;412770;2809532;05;;97;0;0;0
202601;412770;2809990;05;;32;0;0;0
202601;412770;4056752;05;;212;140;37;30
202601;412770;4330919;05;;69;59;10;0
202601;412770;7781237;05;;8;0;7;0
202601;412780;4057058;05;;67;51;0;0
202601;412785;2738201;05;;34;34;0;0
202601;412788;0019208;15;;6;6;0;0
202601;412790;2783819;05;;22;22;0;0
202601;412796;2741962;05;;49;49;0;0
202601;412800;2733633;05;;55;51;0;0
202601;412800;3024571;05;;51;0;0;0
202601;412810;2594358;07;;156;150;0;0
202601;412810;2594366;05;;123;86;19;13
202601;412810;2679736;05;;129;89;30;30
202601;412810;3005011;05;;127;93;26;22
202601;412810;7845138;05;;240;183;20;14
202601;412820;2568292;07;;126;33;0;0
202601;412820;2568349;05;;70;56;10;9
202601;412820;2568373;05;;110;61;23;16
202601;412840;2582066;05;;48;46;0;0
202601;412850;3134423;05;;52;51;0;0
202601;412855;2573032;05;;27;26;0;0
202601;412860;2586096;05;;21;19;0;0
202601;412863;2681579;15;;4;4;0;0
202602;410020;0013102;15;;3;3;0;0
202602;410045;2733528;05;;19;19;0;0
202602;410050;2781700;05;;39;39;0;0
202602;410060;2753995;05;;20;19;0;0
202602;410080;2729393;05;;16;16;0;0
202602;410090;2753820;05;;14;14;0;0
202602;410100;5621674;05;;35;34;0;0
202602;410110;2582554;05;;62;57;0;0
202602;410120;2680971;05;;32;32;0;0
202602;410130;2537044;15;;2;2;0;0
202602;410140;2439263;05;;125;69;12;12
202602;410140;2439360;05;;186;152;30;28
202602;410140;4820150;05;;50;50;0;0
202602;410150;2576198;05;;106;81;16;5
202602;410150;2576341;05;;423;371;104;75
202602;410150;5911354;05;;62;51;0;0
202602;410160;2687011;05;;44;44;0;0
202602;410170;0109258;05;;23;23;0;0
202602;410180;5995280;05;;83;83;18;18
202602;410190;2577283;05;;38;38;0;0
202602;410190;2582538;05;;11;0;0;0
202602;410200;4051165;05;;62;61;10;10
202602;410200;4051181;05;;27;19;0;0
202602;410210;2733579;05;;102;94;0;0
202602;410240;2577410;05;;92;81;12;10
202602;410240;2577429;05;;37;0;0;0
202602;410250;3587010;05;;1;1;0;0
202602;410280;2729547;05;;17;17;0;0
202602;410290;2549263;05;;43;43;0;0
202602;410305;6326269;05;;16;16;0;0
202602;410310;2681498;05;;9;9;0;0
202602;410320;2571714;05;;29;29;0;0
202602;410330;2573423;05;;27;27;0;0
202602;410345;4068106;05;;33;33;0;0
202602;410360;3134563;05;;24;24;0;0
202602;410360;4051513;05;;61;55;0;0
202602;410370;2729539;05;;37;10;0;0
202602;410370;2730650;05;;101;84;10;10
202602;410390;2733285;05;;36;28;0;0
202602;410400;0013633;05;;582;466;163;86
202602;410420;0013838;05;;172;145;46;28
202602;410420;0013846;05;;890;838;386;365
202602;410420;0014001;07;;48;48;0;0
202602;410420;5603145;05;;158;141;80;75
202602;410420;6426204;05;;120;120;40;40
202602;410430;0014109;05;;156;143;32;28
202602;410430;0014125;05;;105;71;20;10
202602;410430;9578986;05;;28;0;0;0
202602;410440;2587785;05;;31;31;0;0
202602;410442;2742020;05;;41;39;0;0
202602;410450;2586061;05;;39;29;0;0
202602;410460;2571811;05;;35;33;0;0
202602;410470;2877112;05;;50;50;0;0
202602;410480;2737078;15;;1;1;0;0
202602;410480;2737434;07;;137;114;6;5
202602;410480;2738090;07;;3;2;0;0
202602;410480;2738309;05;;217;114;40;17
202602;410480;2738368;05;;374;368;61;55
202602;410480;2738384;07;;5;2;0;0
202602;410480;2738899;05;;133;0;29;0
202602;410480;2740338;07;;137;91;10;8
202602;410480;3014509;05;;60;0;6;0
202602;410480;3165019;05;;29;0;0;0
202602;410480;3196488;07;;15;0;0;0
202602;410480;3196712;07;;5;0;0;0
202602;410480;3677214;07;;10;0;0;0
202602;410480;3751678;15;;1;1;0;0
202602;410480;7611986;07;;5;0;0;0
202602;410480;7807252;05;;6;0;0;0
202602;410480;9232966;07;;5;5;0;0
202602;410480;9543767;05;;60;60;10;10
202602;410490;2683210;05;;156;119;10;9
202602;410510;2729466;05;;25;25;0;0
202602;410520;2767678;05;;17;17;0;0
202602;410530;2572192;05;;46;33;0;0
202602;410540;7039344;05;;87;80;10;10
202602;410550;2733676;05;;70;48;10;8
202602;410550;2735989;05;;101;82;10;8
202602;410560;2733188;05;;18;18;0;0
202602;410570;2738120;05;;56;50;0;0
202602;410580;0907367;05;;1;0;0;0
202602;410580;2753332;07;;40;37;0;0
202602;410580;4419782;07;;2;2;0;0
202602;410590;2733307;05;;121;95;20;15
