Indicadores Municipais
População2.1 D.Total Saúde/Hab3.2 %R.Próprios em Saúde-EC 29R.Transf.SUS/Hab por Munic-BR
UF: Paraná
Período:2015
"Munic-BR";"População";"2.1_D.Total_Saúde/Hab";"3.2_%R.Próprios_em_Saúde-EC_29";"R.Transf.SUS/Hab"
"412230 Rio Negro";33395;567,18;30,54;151,73
"412240 Rolândia";63316;533,70;22,50;186,14
"412250 Roncador";11065;722,64;24,52;222,83
"412260 Rondon";9488;730,51;24,45;212,22
"412265 Rosário do Ivaí";5367;700,93;35,00;142,33
"412270 Sabáudia";6585;714,96;17,16;224,26
"412280 Salgado Filho";4142;760,66;17,90;311,71
"412290 Salto do Itararé";5201;680,12;34,35;306,30
"412300 Salto do Lontra";14539;629,68;25,84;216,13
"412310 Santa Amélia";3684;938,66;20,34;124,74
"412320 Santa Cecília do Pavão";3597;1066,85;23,08;251,74
"412330 Santa Cruz de Monte Castelo";8166;829,15;29,98;164,27
"412340 Santa Fé";11431;505,92;24,54;113,64
"412350 Santa Helena";25415;668,30;20,62;85,55
"412360 Santa Inês";1765;1371,70;16,07;451,99
"412370 Santa Isabel do Ivaí";8896;658,63;19,82;167,88
"412380 Santa Izabel do Oeste";14165;671,04;25,37;242,37
"412382 Santa Lúcia";3976;1010,53;25,52;273,98
"412385 Santa Maria do Oeste";11009;590,15;20,41;338,30
"412390 Santa Mariana";12432;705,73;33,41;118,99
"412395 Santa Mônica";3849;936,27;17,44;256,40
"412402 Santa Tereza do Oeste";10509;687,38;25,49;171,93
"412405 Santa Terezinha de Itaipu";22570;703,00;30,71;191,64
"412400 Santana do Itararé";5267;793,10;22,53;446,25
"412410 Santo Antônio da Platina";45299;429,35;26,78;125,47
"412420 Santo Antônio do Caiuá";2757;882,96;16,75;379,42
"412430 Santo Antônio do Paraíso";2333;1380,77;22,35;520,21
"412440 Santo Antônio do Sudoeste";19958;505,34;18,59;236,79
"412450 Santo Inácio";5481;983,05;25,03;152,91
"412460 São Carlos do Ivaí";6756;944,71;27,28;275,82
"412470 São Jerônimo da Serra";11553;586,79;23,78;218,19
"412480 São João";10709;677,26;24,58;141,39
"412490 São João do Caiuá";6038;840,33;32,00;386,44
"412500 São João do Ivaí";11228;693,00;26,65;242,06
"412510 São João do Triunfo";14700;492,23;25,43;135,20
