 Mortalidade - Paraná
Óbitos p/Residênc por Município e Capítulo CID-10
Período:2017
"Município";"Cap I";"Cap II";"Cap III";"Cap IV";"Cap V";"Cap VI";"Cap VIII";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIII";"Cap XIV";"Cap XV";"Cap XVI";"Cap XVII";"Cap XVIII";"Cap XX";"Total"
"411740 OURIZONA";-;4;-;2;-;-;-;15;4;-;-;-;1;-;-;-;-;2;28
"411745 OURO VERDE DO OESTE";2;6;-;-;-;1;-;19;3;2;-;-;3;-;1;-;1;5;43
"411750 PAICANDU";11;45;1;15;5;5;-;74;29;8;2;-;4;2;8;3;3;49;264
"411760 PALMAS";7;46;1;10;1;7;-;74;51;19;3;-;4;-;7;3;2;43;278
"411770 PALMEIRA";3;43;-;7;2;6;-;81;45;8;-;5;6;-;1;4;7;33;251
"411780 PALMITAL";3;10;-;2;-;4;-;28;11;1;-;-;-;-;1;-;5;15;80
"411790 PALOTINA";6;43;-;3;2;10;-;50;13;8;-;1;7;-;4;2;4;27;180
"411800 PARAISO DO NORTE";2;17;-;9;2;1;-;28;8;5;1;-;2;-;1;2;-;12;90
"411810 PARANACITY";-;15;-;4;2;1;-;17;10;2;-;-;3;-;2;2;6;10;74
"411820 PARANAGUA";53;156;5;62;5;18;-;270;118;38;1;5;32;-;9;3;48;119;942
"411830 PARANAPOEMA";1;2;-;2;-;-;-;9;2;1;-;-;1;-;-;-;-;2;20
